Date,Time,Exchange,Symbol,Side,Shares,Entry Price,Stop Loss,Total USD,Risk USD,Risk %,Signal Date,Order ID,Mode,Strategy
2026-05-04,19:08:25,Yahoo/Paper,IWM,short,1,278.14,281,278.14,2.86,1.03,2026-04-22,SID-PAPER-1777921705931,paper,SID v1.0
2026-05-05,18:57:53,Yahoo/Paper,DKS,short,1,215.73,233,215.73,17.27,8.01,2026-04-27,SID-PAPER-1778007473154,paper,SID v1.0
2026-05-07,20:05:01,Yahoo/Paper,IWM,short,1,282.28,288,282.28,5.72,2.03,2026-05-06,SID-PAPER-1778184301668,paper,SID v1.0
2026-05-08,18:58:02,Yahoo/Paper,BAC,short,5,51.31,56,256.57,23.43,9.13,2026-04-15,SID-PAPER-1778266682724,paper,SID v1.0
2026-05-11,20:25:09,Yahoo/Paper,AMZN,short,1,268.99,279,268.99,10.01,3.72,2026-04-10,SID-PAPER-1778531109114,paper,SID v1.0
2026-05-13,20:23:39,Yahoo/Paper,XLRE,short,11,44.21,45,486.31,8.69,1.79,2026-04-16,SID-PAPER-1778703819437,paper,SID v1.0
2026-05-15,20:05:22,Yahoo/DryRun,AVGO,short,1,425.19,443,425.19,17.81,4.19,2026-04-10,SID-DRYRUN-1778875522324,dry_run,SID v1.7
